plz	ort	landkreis	bundesland
55487	Sohrschied	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
79294	Sölden	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
42651	Solingen		Nordrhein-Westfalen
42653	Solingen		Nordrhein-Westfalen
42655	Solingen		Nordrhein-Westfalen
42657	Solingen		Nordrhein-Westfalen
42659	Solingen		Nordrhein-Westfalen
42697	Solingen		Nordrhein-Westfalen
42699	Solingen		Nordrhein-Westfalen
42719	Solingen		Nordrhein-Westfalen
07381	Solkwitz	Saale-Orla-Kreis	Thüringen
24852	Sollerup	Kreis Schleswig-Flensburg	Schleswig-Holstein
38387	Söllingen	Landkreis Helmstedt	Niedersachsen
99759	Sollstedt	Landkreis Nordhausen	Thüringen
25884	Sollwitt	Kreis Nordfriesland	Schleswig-Holstein
35606	Solms	Lahn-Dill-Kreis	Hessen
91807	Solnhofen	Landkreis Weißenburg-Gunzenhausen	Bayern
29614	Soltau	Landkreis Heidekreis	Niedersachsen
29594	Soltendieck	Landkreis Uelzen	Niedersachsen
97334	Sommerach	Landkreis Kitzingen	Bayern
